epoch	iso_utc	elapsed_s	gpu	name	util_pct	mem_used_mb	mem_total_mb	ours	ctrl_alive	trials	champion
1787309885.632	2026-08-21T10:58:05Z	10801	1	NVIDIA H200	0	4	143771	no	alive	119	0.967286
1787309885.632	2026-08-21T10:58:05Z	10801	2	NVIDIA H200	100	66179	143771	no	alive	119	0.967286
1787309885.632	2026-08-21T10:58:05Z	10801	3	NVIDIA H200	100	142433	143771	no	alive	119	0.967286
1787309885.632	2026-08-21T10:58:05Z	10801	4	NVIDIA H200	0	4	143771	no	alive	119	0.967286
1787309885.632	2026-08-21T10:58:05Z	10801	5	NVIDIA H200	19	12747	143771	no	alive	119	0.967286
1787309885.632	2026-08-21T10:58:05Z	10801	6	NVIDIA H200	19	12747	143771	no	alive	119	0.967286
1787309885.632	2026-08-21T10:58:05Z	10801	7	NVIDIA H200	0	4	143771	no	alive	119	0.967286
1787311685.814	2026-08-21T11:28:05Z	12601	0	NVIDIA H200	0	2187	143771	yes	alive	121	0.967286
1787311685.814	2026-08-21T11:28:05Z	12601	1	NVIDIA H200	0	4	143771	no	alive	121	0.967286
1787311685.814	2026-08-21T11:28:05Z	12601	2	NVIDIA H200	100	41435	143771	no	alive	121	0.967286
1787311685.814	2026-08-21T11:28:05Z	12601	3	NVIDIA H200	0	1093	143771	no	alive	121	0.967286
1787311685.814	2026-08-21T11:28:05Z	12601	4	NVIDIA H200	0	4	143771	no	alive	121	0.967286
1787311685.814	2026-08-21T11:28:05Z	12601	5	NVIDIA H200	20	12747	143771	no	alive	121	0.967286
1787311685.814	2026-08-21T11:28:05Z	12601	6	NVIDIA H200	20	12747	143771	no	alive	121	0.967286
1787311685.814	2026-08-21T11:28:05Z	12601	7	NVIDIA H200	0	4	143771	no	alive	121	0.967286
1787313486.003	2026-08-21T11:58:06Z	14402	0	NVIDIA H200	4	20960	143771	yes	alive	123	0.967286
1787313486.003	2026-08-21T11:58:06Z	14402	1	NVIDIA H200	97	25205	143771	no	alive	123	0.967286
1787313486.003	2026-08-21T11:58:06Z	14402	2	NVIDIA H200	0	4	143771	no	alive	123	0.967286
1787313486.003	2026-08-21T11:58:06Z	14402	3	NVIDIA H200	2	2811	143771	no	alive	123	0.967286
1787313486.003	2026-08-21T11:58:06Z	14402	4	NVIDIA H200	52	3573	143771	no	alive	123	0.967286
1787313486.003	2026-08-21T11:58:06Z	14402	5	NVIDIA H200	19	12747	143771	no	alive	123	0.967286
1787313486.003	2026-08-21T11:58:06Z	14402	6	NVIDIA H200	19	12747	143771	no	alive	123	0.967286
1787313486.003	2026-08-21T11:58:06Z	14402	7	NVIDIA H200	0	6003	143771	no	alive	123	0.967286
1787315286.213	2026-08-21T12:28:06Z	16202	0	NVIDIA H200	99	9647	143771	yes	alive	124	0.967286
1787315286.213	2026-08-21T12:28:06Z	16202	1	NVIDIA H200	0	26036	143771	no	alive	124	0.967286
1787315286.213	2026-08-21T12:28:06Z	16202	2	NVIDIA H200	100	26036	143771	no	alive	124	0.967286
1787315286.213	2026-08-21T12:28:06Z	16202	3	NVIDIA H200	22	3103	143771	no	alive	124	0.967286
1787315286.213	2026-08-21T12:28:06Z	16202	4	NVIDIA H200	100	26036	143771	no	alive	124	0.967286
1787315286.213	2026-08-21T12:28:06Z	16202	5	NVIDIA H200	19	12748	143771	no	alive	124	0.967286
1787315286.213	2026-08-21T12:28:06Z	16202	6	NVIDIA H200	20	12748	143771	no	alive	124	0.967286
1787315286.213	2026-08-21T12:28:06Z	16202	7	NVIDIA H200	100	10095	143771	no	alive	124	0.967286
1787317086.422	2026-08-21T12:58:06Z	18002	0	NVIDIA H200	100	11983	143771	yes	down	126	0.967286
1787317086.422	2026-08-21T12:58:06Z	18002	1	NVIDIA H200	100	26036	143771	no	down	126	0.967286
